SamplingEventID,PapaemClass,celltype.aml,n,prop
NBM4-MNC,NBM-MNC,HSC,33,0.00711820534943917
NBM4-MNC,NBM-MNC,LMPP,39,0.00841242450388265
NBM4-MNC,NBM-MNC,GMP,62,0.01337359792924935
NBM4-MNC,NBM-MNC,Monocytes,718,0.1548748921484038
NBM4-MNC,NBM-MNC,Megakaryocytic cells,11,0.00237273511647972
NBM4-MNC,NBM-MNC,Erythroid cells,127,0.02739430543572045
NBM4-MNC,NBM-MNC,Dendritic cells,145,0.03127696289905091
NBM4-MNC,NBM-MNC,NK-cells,239,0.05155306298533218
NBM4-MNC,NBM-MNC,T-cells,2873,0.6197152717860225
NBM4-MNC,NBM-MNC,B-cells,389,0.08390854184641933
NBM7-MNC,NBM-MNC,HSC,53,0.01016299137104506
NBM7-MNC,NBM-MNC,LMPP,56,0.01073825503355704
NBM7-MNC,NBM-MNC,GMP,138,0.02646212847555129
NBM7-MNC,NBM-MNC,Monocytes,1122,0.21514860977948227
NBM7-MNC,NBM-MNC,Megakaryocytic cells,22,0.00421860019175455
NBM7-MNC,NBM-MNC,Erythroid cells,490,0.09395973154362416
NBM7-MNC,NBM-MNC,Dendritic cells,94,0.01802492809204218
NBM7-MNC,NBM-MNC,NK-cells,358,0.06864813039309683
NBM7-MNC,NBM-MNC,T-cells,2077,0.398274209012464
NBM7-MNC,NBM-MNC,B-cells,805,0.15436241610738255
NBM8-MNC,NBM-MNC,HSC,86,0.01116738085962862
NBM8-MNC,NBM-MNC,LMPP,71,0.00921958187248409
NBM8-MNC,NBM-MNC,GMP,121,0.01571224516296585
NBM8-MNC,NBM-MNC,Monocytes,2097,0.27230229840280484
NBM8-MNC,NBM-MNC,Megakaryocytic cells,24,0.00311647837943124
NBM8-MNC,NBM-MNC,Erythroid cells,163,0.02116608232697052
NBM8-MNC,NBM-MNC,Dendritic cells,258,0.03350214257888586
NBM8-MNC,NBM-MNC,NK-cells,901,0.11699779249448124
NBM8-MNC,NBM-MNC,T-cells,3411,0.44292948967666534
NBM8-MNC,NBM-MNC,B-cells,569,0.07388650824568238
NBM10-MNC,NBM-MNC,HSC,77,0.014739663093415
NBM10-MNC,NBM-MNC,LMPP,58,0.01110260336906585
NBM10-MNC,NBM-MNC,GMP,144,0.02756508422664624
NBM10-MNC,NBM-MNC,Monocytes,1568,0.3001531393568147
NBM10-MNC,NBM-MNC,Megakaryocytic cells,29,0.00555130168453292
NBM10-MNC,NBM-MNC,Erythroid cells,118,0.02258805513016845
NBM10-MNC,NBM-MNC,Dendritic cells,184,0.03522205206738132
NBM10-MNC,NBM-MNC,NK-cells,380,0.07274119448698316
NBM10-MNC,NBM-MNC,T-cells,2100,0.40199081163859113
NBM10-MNC,NBM-MNC,B-cells,566,0.10834609494640124
NBM11-MNC,NBM-MNC,HSC,33,0.00428905640759033
NBM11-MNC,NBM-MNC,LMPP,50,0.0064985703145308
NBM11-MNC,NBM-MNC,GMP,125,0.01624642578632701
NBM11-MNC,NBM-MNC,Monocytes,1622,0.21081362100337925
NBM11-MNC,NBM-MNC,Megakaryocytic cells,22,0.00285937093839355
NBM11-MNC,NBM-MNC,Erythroid cells,238,0.03093319469716662
NBM11-MNC,NBM-MNC,Dendritic cells,240,0.03119313750974785
NBM11-MNC,NBM-MNC,NK-cells,900,0.11697426566155446
NBM11-MNC,NBM-MNC,T-cells,3962,0.5149467117234209
NBM11-MNC,NBM-MNC,B-cells,502,0.06524564595788926
NBM8-CD34,NBM-CD34,HSC,1512,0.33532934131736525
NBM8-CD34,NBM-CD34,LMPP,1308,0.29008649367930806
NBM8-CD34,NBM-CD34,GMP,383,0.0849412286538035
NBM8-CD34,NBM-CD34,Monocytes,199,0.04413395431359503
NBM8-CD34,NBM-CD34,Megakaryocytic cells,194,0.04302506098913284
NBM8-CD34,NBM-CD34,Erythroid cells,168,0.03725881570192947
NBM8-CD34,NBM-CD34,Dendritic cells,169,0.03748059436682191
NBM8-CD34,NBM-CD34,NK-cells,115,0.02550454646263029
NBM8-CD34,NBM-CD34,T-cells,272,0.06032379685074296
NBM8-CD34,NBM-CD34,B-cells,189,0.04191616766467065
NBM10-CD34,NBM-CD34,HSC,2489,0.3624581331003349
NBM10-CD34,NBM-CD34,LMPP,1943,0.28294742973642056
NBM10-CD34,NBM-CD34,GMP,469,0.06829765545361875
NBM10-CD34,NBM-CD34,Monocytes,35,0.00509683995922528
NBM10-CD34,NBM-CD34,Megakaryocytic cells,457,0.06655016746759866
NBM10-CD34,NBM-CD34,Erythroid cells,290,0.04223095966215232
NBM10-CD34,NBM-CD34,Dendritic cells,213,0.0310179117518567
NBM10-CD34,NBM-CD34,NK-cells,134,0.01951361584389107
NBM10-CD34,NBM-CD34,T-cells,77,0.01121304791029561
NBM10-CD34,NBM-CD34,B-cells,760,0.11067423911460608
NBM11-CD34,NBM-CD34,HSC,1957,0.28737151248164466
NBM11-CD34,NBM-CD34,LMPP,1934,0.2839941262848752
NBM11-CD34,NBM-CD34,GMP,575,0.08443465491923642
NBM11-CD34,NBM-CD34,Monocytes,88,0.01292217327459618
NBM11-CD34,NBM-CD34,Megakaryocytic cells,650,0.09544787077826726
NBM11-CD34,NBM-CD34,Erythroid cells,674,0.09897209985315712
NBM11-CD34,NBM-CD34,Dendritic cells,310,0.04552129221732746
NBM11-CD34,NBM-CD34,NK-cells,40,0.00587371512481644
NBM11-CD34,NBM-CD34,T-cells,85,0.01248164464023494
NBM11-CD34,NBM-CD34,B-cells,497,0.07298091042584434
AML24-AML-1,NPM1,AML Immature,2842,0.6447368421052632
AML24-AML-1,NPM1,HSC,5,0.00113430127041742
AML24-AML-1,NPM1,LMPP,54,0.01225045372050816
AML24-AML-1,NPM1,GMP,144,0.03266787658802177
AML24-AML-1,NPM1,Monocytes,297,0.06737749546279492
AML24-AML-1,NPM1,Megakaryocytic cells,60,0.01361161524500907
AML24-AML-1,NPM1,Erythroid cells,677,0.15358439201451907
AML24-AML-1,NPM1,Dendritic cells,40,0.00907441016333938
AML24-AML-1,NPM1,NK-cells,45,0.0102087114337568
AML24-AML-1,NPM1,T-cells,229,0.05195099818511797
AML24-AML-1,NPM1,B-cells,15,0.00340290381125226
AML25-AML-1,NPM1,AML Immature,3259,0.6953275016001706
AML25-AML-1,NPM1,HSC,3,6.400682739492212e-4
AML25-AML-1,NPM1,LMPP,172,0.03669724770642202
AML25-AML-1,NPM1,GMP,268,0.05717943247279709
AML25-AML-1,NPM1,Monocytes,307,0.06550032003413697
AML25-AML-1,NPM1,Megakaryocytic cells,43,0.0091743119266055
AML25-AML-1,NPM1,Erythroid cells,355,0.07574141241732452
AML25-AML-1,NPM1,Dendritic cells,128,0.0273095796885001
AML25-AML-1,NPM1,NK-cells,36,0.00768081928739065
AML25-AML-1,NPM1,T-cells,75,0.01600170684873053
AML25-AML-1,NPM1,B-cells,41,0.00874759974397269
AML27-AML-1,NPM1,AML Immature,2776,0.7802136031478358
AML27-AML-1,NPM1,HSC,5,0.0014052838673412
AML27-AML-1,NPM1,LMPP,191,0.05368184373243395
AML27-AML-1,NPM1,GMP,269,0.07560427206295672
AML27-AML-1,NPM1,Monocytes,5,0.0014052838673412
AML27-AML-1,NPM1,Erythroid cells,70,0.01967397414277684
AML27-AML-1,NPM1,Dendritic cells,13,0.00365373805508712
AML27-AML-1,NPM1,NK-cells,62,0.01742551995503091
AML27-AML-1,NPM1,T-cells,147,0.04131534569983136
AML27-AML-1,NPM1,B-cells,20,0.00562113546936481
AML28-AML-1,NPM1,AML Immature,5253,0.9318786588610964
AML28-AML-1,NPM1,HSC,8,0.00141919460706049
AML28-AML-1,NPM1,LMPP,2,3.547986517651233e-4
AML28-AML-1,NPM1,GMP,4,7.095973035302466e-4
AML28-AML-1,NPM1,Monocytes,21,0.00372538584353379
AML28-AML-1,NPM1,Megakaryocytic cells,48,0.00851516764236295
AML28-AML-1,NPM1,Erythroid cells,71,0.01259535213766187
AML28-AML-1,NPM1,NK-cells,45,0.00798296966471527
AML28-AML-1,NPM1,T-cells,127,0.02252971438708533
AML28-AML-1,NPM1,B-cells,58,0.01028916090118857
AML33-Relapse-1,NPM1,AML Immature,5432,0.8865676513791415
AML33-Relapse-1,NPM1,HSC,5,8.160600620205648e-4
AML33-Relapse-1,NPM1,LMPP,14,0.00228496817365758
AML33-Relapse-1,NPM1,GMP,80,0.01305696099232903
AML33-Relapse-1,NPM1,Monocytes,13,0.00212175616125346
AML33-Relapse-1,NPM1,Megakaryocytic cells,2,3.264240248082259e-4
AML33-Relapse-1,NPM1,Erythroid cells,8,0.0013056960992329
AML33-Relapse-1,NPM1,NK-cells,35,0.00571242043414395
AML33-Relapse-1,NPM1,T-cells,437,0.07132364942059735
AML33-Relapse-1,NPM1,B-cells,101,0.0164844132528154
AML79-AML-1,NPM1,AML Immature,1931,0.9626121635094717
AML79-AML-1,NPM1,HSC,2,9.970089730807576e-4
AML79-AML-1,NPM1,LMPP,6,0.00299102691924227
AML79-AML-1,NPM1,Megakaryocytic cells,2,9.970089730807576e-4
AML79-AML-1,NPM1,Erythroid cells,5,0.00249252243270189
AML79-AML-1,NPM1,NK-cells,5,0.00249252243270189
AML79-AML-1,NPM1,T-cells,38,0.01894317048853439
AML79-AML-1,NPM1,B-cells,17,0.00847457627118644
AML104-AML-1,NPM1,AML Immature,2494,0.9603388525221408
AML104-AML-1,NPM1,HSC,1,3.850596842510589e-4
AML104-AML-1,NPM1,LMPP,1,3.850596842510589e-4
AML104-AML-1,NPM1,GMP,6,0.00231035810550635
AML104-AML-1,NPM1,Monocytes,3,0.00115517905275317
AML104-AML-1,NPM1,Megakaryocytic cells,10,0.00385059684251058
AML104-AML-1,NPM1,Erythroid cells,38,0.01463226800154023
AML104-AML-1,NPM1,NK-cells,9,0.00346553715825953
AML104-AML-1,NPM1,T-cells,19,0.00731613400077011
AML104-AML-1,NPM1,B-cells,16,0.00616095494801694
AML136-AML-1,NPM1,AML Immature,2903,0.7895023116671199
AML136-AML-1,NPM1,HSC,1,2.719608376393799e-4
AML136-AML-1,NPM1,LMPP,41,0.01115039434321457
AML136-AML-1,NPM1,GMP,35,0.00951862931737829
AML136-AML-1,NPM1,Monocytes,352,0.09573021484906172
AML136-AML-1,NPM1,Megakaryocytic cells,11,0.00299156921403317
AML136-AML-1,NPM1,Erythroid cells,11,0.00299156921403317
AML136-AML-1,NPM1,Dendritic cells,127,0.03453902638020125
AML136-AML-1,NPM1,NK-cells,16,0.00435137340223007
AML136-AML-1,NPM1,T-cells,57,0.01550176774544465
AML136-AML-1,NPM1,B-cells,123,0.03345118302964373
AML7-AML-1,NPM1,AML Immature,1659,0.3134920634920635
AML7-AML-1,NPM1,HSC,9,0.00170068027210884
AML7-AML-1,NPM1,LMPP,59,0.01114890400604686
AML7-AML-1,NPM1,GMP,645,0.12188208616780044
AML7-AML-1,NPM1,Monocytes,314,0.05933484504913076
AML7-AML-1,NPM1,Megakaryocytic cells,61,0.01152683295540438
AML7-AML-1,NPM1,Erythroid cells,1579,0.29837490551776263
AML7-AML-1,NPM1,Dendritic cells,98,0.01851851851851851
AML7-AML-1,NPM1,NK-cells,42,0.0079365079365079309
AML7-AML-1,NPM1,T-cells,669,0.1264172335600907
AML7-AML-1,NPM1,B-cells,157,0.02966742252456538
AML9-AML-1,NPM1,AML Immature,36,0.0071599045346062
AML9-AML-1,NPM1,HSC,1,1.988862370723946e-4
AML9-AML-1,NPM1,LMPP,1,1.988862370723946e-4
AML9-AML-1,NPM1,GMP,2052,0.4081145584725537
AML9-AML-1,NPM1,Monocytes,2278,0.4530628480509149
AML9-AML-1,NPM1,Megakaryocytic cells,5,9.94431185361973e-4
AML9-AML-1,NPM1,Erythroid cells,463,0.09208432776451868
AML9-AML-1,NPM1,Dendritic cells,9,0.00178997613365155
AML9-AML-1,NPM1,NK-cells,14,0.00278440731901352
AML9-AML-1,NPM1,T-cells,88,0.01750198886237072
AML9-AML-1,NPM1,B-cells,81,0.01610978520286396
AML97-AML-1,NPM1,AML Immature,1111,0.2234063945304645
AML97-AML-1,NPM1,HSC,4,8.043434546551378e-4
AML97-AML-1,NPM1,LMPP,27,0.00542931831892218
AML97-AML-1,NPM1,GMP,132,0.02654333400361954
AML97-AML-1,NPM1,Monocytes,2119,0.4261009451035592
AML97-AML-1,NPM1,Megakaryocytic cells,151,0.03036396541323145
AML97-AML-1,NPM1,Erythroid cells,15,0.00301628795495676
AML97-AML-1,NPM1,Dendritic cells,478,0.09611904283128896
AML97-AML-1,NPM1,NK-cells,65,0.01307058113814598
AML97-AML-1,NPM1,T-cells,760,0.15282525638447617
AML97-AML-1,NPM1,B-cells,111,0.02232053086668007
AML105-AML-1,NPM1,AML Immature,2144,0.4502309953800924
AML105-AML-1,NPM1,HSC,10,0.00209995800083998
AML105-AML-1,NPM1,LMPP,49,0.01028979420411591
AML105-AML-1,NPM1,GMP,236,0.0495590088198236
AML105-AML-1,NPM1,Monocytes,1310,0.2750944981100378
AML105-AML-1,NPM1,Megakaryocytic cells,105,0.02204955900881982
AML105-AML-1,NPM1,Erythroid cells,28,0.00587988240235195
AML105-AML-1,NPM1,Dendritic cells,252,0.05291894162116758
AML105-AML-1,NPM1,NK-cells,49,0.01028979420411591
AML105-AML-1,NPM1,T-cells,466,0.09785804283914322
AML105-AML-1,NPM1,B-cells,113,0.02372952540949181
AML10-AML-1,AML-MR,AML Immature,4074,0.7558441558441559
AML10-AML-1,AML-MR,HSC,16,0.00296846011131725
AML10-AML-1,AML-MR,LMPP,103,0.01910946196660482
AML10-AML-1,AML-MR,GMP,103,0.01910946196660482
AML10-AML-1,AML-MR,Monocytes,814,0.1510204081632653
AML10-AML-1,AML-MR,Megakaryocytic cells,80,0.01484230055658627
AML10-AML-1,AML-MR,Erythroid cells,51,0.00946196660482374
AML10-AML-1,AML-MR,Dendritic cells,45,0.00834879406307977
AML10-AML-1,AML-MR,NK-cells,5,9.27643784786642e-4
AML10-AML-1,AML-MR,T-cells,66,0.01224489795918367
AML10-AML-1,AML-MR,B-cells,33,0.00612244897959183
AML21-AML-1,AML-MR,AML Immature,3685,0.6960710238005289
AML21-AML-1,AML-MR,HSC,14,0.00264450321118247
AML21-AML-1,AML-MR,LMPP,200,0.03777861730260672
AML21-AML-1,AML-MR,GMP,271,0.05119002644503211
AML21-AML-1,AML-MR,Monocytes,371,0.07007933509633547
AML21-AML-1,AML-MR,Megakaryocytic cells,6,0.0011333585190782
AML21-AML-1,AML-MR,Erythroid cells,535,0.101057801284473
AML21-AML-1,AML-MR,Dendritic cells,13,0.00245561012466943
AML21-AML-1,AML-MR,NK-cells,6,0.0011333585190782
AML21-AML-1,AML-MR,T-cells,141,0.02663392519833774
AML21-AML-1,AML-MR,B-cells,52,0.00982244049867774
AML32-AML-1,AML-MR,AML Immature,4263,0.6626768226332971
AML32-AML-1,AML-MR,HSC,18,0.00279807243898647
AML32-AML-1,AML-MR,LMPP,214,0.03326597233017255
AML32-AML-1,AML-MR,GMP,6,9.32690812995492e-4
AML32-AML-1,AML-MR,Monocytes,20,0.00310896937665164
AML32-AML-1,AML-MR,Megakaryocytic cells,11,0.0017099331571584
AML32-AML-1,AML-MR,Erythroid cells,1359,0.21125446914347892
AML32-AML-1,AML-MR,Dendritic cells,141,0.02191823410539406
AML32-AML-1,AML-MR,NK-cells,39,0.00606249028447069
AML32-AML-1,AML-MR,T-cells,310,0.04818902533810042
AML32-AML-1,AML-MR,B-cells,52,0.00808332037929426
AML55-AML-1,AML-MR,AML Immature,1419,0.2819952305246423
AML55-AML-1,AML-MR,HSC,10,0.0019872813990461
AML55-AML-1,AML-MR,LMPP,50,0.00993640699523052
AML55-AML-1,AML-MR,GMP,83,0.01649443561208267
AML55-AML-1,AML-MR,Monocytes,465,0.09240858505564388
AML55-AML-1,AML-MR,Megakaryocytic cells,362,0.071939586645469
AML55-AML-1,AML-MR,Erythroid cells,957,0.19018282988871224
AML55-AML-1,AML-MR,Dendritic cells,79,0.01569952305246422
AML55-AML-1,AML-MR,NK-cells,465,0.09240858505564388
AML55-AML-1,AML-MR,T-cells,855,0.16991255961844198
AML55-AML-1,AML-MR,B-cells,287,0.05703497615262321
AML110-AML-1,AML-MR,AML Immature,207,0.0770375883885374
